Year,State,District,Rice,Wheat,Jowar,Pearl Millet,Maize,Barley,Chickpea,Groundnut,Sesamum,Sugarcane,Cotton
2003,Chhattisgarh,Durg,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2004,Chhattisgarh,Durg,882.0,638,-1,-1,-1,-1,1327,-1,-1,-1,-1
2005,Chhattisgarh,Durg,972.0,831,-1,-1,-1,-1,1660,-1,3055,-1,-1
2006,Chhattisgarh,Durg,1046.0,1034,-1,-1,-1,-1,2590,-1,4647,-1,-1
2007,Chhattisgarh,Durg,1033.0,1364,-1,-1,-1,-1,2828,-1,5072,-1,-1
2008,Chhattisgarh,Durg,1421.0,1409,-1,-1,-1,-1,2771,-1,6650,-1,-1
2009,Chhattisgarh,Durg,1600.0,1522,-1,-1,-1,-1,2682,-1,-1,-1,-1
2010,Chhattisgarh,Durg,1825.0,1485,-1,-1,-1,-1,2604,-1,8000,-1,-1
2011,Chhattisgarh,Durg,1786.0,1356,-1,-1,-1,-1,3367,-1,-1,-1,-1
2012,Chhattisgarh,Durg,-1.0,1582,-1,-1,-1,-1,3255,4167,2600,-1,-1
2013,Chhattisgarh,Durg,-1.0,2000,-1,-1,-1,-1,3000,6000,-1,-1,-1
2014,Chhattisgarh,Durg,2116.0,1592,-1,-1,-1,-1,3632,5005,-1,4009,-1
2015,Chhattisgarh,Durg,2977.0,2327,-1,-1,-1,-1,4034,-1,10000,-1,-1
2003,Chhattisgarh,Bastar,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2004,Chhattisgarh,Bastar,824.0,1029,1000,-1,-1,-1,1574,-1,-1,1409,-1
2005,Chhattisgarh,Bastar,855.0,1080,-1,-1,509,-1,2058,-1,3200,1454,-1
2006,Chhattisgarh,Bastar,924.0,1157,450,-1,545,-1,2530,-1,2324,-1,-1
2007,Chhattisgarh,Bastar,965.0,1296,1400,-1,558,-1,2691,-1,4333,-1,-1
2008,Chhattisgarh,Bastar,1435.0,1543,-1,-1,523,-1,2694,-1,-1,1856,-1
2009,Chhattisgarh,Bastar,1479.0,1700,-1,-1,827,-1,3059,-1,3104,2988,-1
2010,Chhattisgarh,Bastar,1425.0,2000,-1,-1,835,-1,2577,-1,-1,3064,-1
2011,Chhattisgarh,Bastar,1862.0,2150,-1,-1,-1,-1,5500,-1,-1,2938,-1
2012,Chhattisgarh,Bastar,2000.0,1520,-1,-1,800,-1,4500,2600,-1,3661,-1
2013,Chhattisgarh,Bastar,-1.0,-1,-1,-1,1093,-1,-1,-1,-1,2872,-1
2014,Chhattisgarh,Bastar,-1.0,-1,-1,-1,-1,-1,-1,-1,7910,-1,-1
2015,Chhattisgarh,Bastar,2933.0,-1,-1,-1,2800,-1,-1,-1,-1,3533,-1
2003,Chhattisgarh,Raipur,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2004,Chhattisgarh,Raipur,980.0,798,-1,-1,-1,-1,1415,-1,-1,-1,-1
2005,Chhattisgarh,Raipur,914.0,-1,-1,-1,1200,-1,-1,2353,3383,1809,-1
2006,Chhattisgarh,Raipur,1093.0,1246,-1,-1,-1,-1,2304,2902,3280,-1,-1
2007,Chhattisgarh,Raipur,1091.0,1394,-1,-1,-1,-1,1880,2639,4373,-1,-1
2008,Chhattisgarh,Raipur,1594.0,-1,-1,1113,-1,-1,-1,2961,4944,2300,-1
2009,Chhattisgarh,Raipur,1740.0,1435,-1,-1,-1,-1,2241,4409,5437,3025,-1
2010,Chhattisgarh,Raipur,1638.0,1340,-1,-1,-1,-1,2392,3754,6207,-1,-1
2011,Chhattisgarh,Raipur,1696.0,1474,-1,-1,-1,-1,3363,5637,8208,-1,-1
2012,Chhattisgarh,Raipur,1734.0,-1,-1,-1,-1,-1,-1,3833,6926,3860,-1
2013,Chhattisgarh,Raipur,2452.0,1920,-1,-1,-1,-1,-1,-1,-1,-1,-1
2015,Chhattisgarh,Raipur,-1.0,1813,-1,-1,-1,-1,9775,-1,-1,-1,-1
2003,Chhattisgarh,Bilaspur,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2004,Chhattisgarh,Bilaspur,859.0,704,-1,536,603,-1,1528,-1,-1,1783,-1
2005,Chhattisgarh,Bilaspur,840.0,891,-1,-1,697,-1,1736,-1,2576,1700,-1
2006,Chhattisgarh,Bilaspur,865.0,1068,-1,-1,605,-1,2291,-1,2967,-1,-1
2007,Chhattisgarh,Bilaspur,1009.0,1162,-1,-1,693,-1,2269,2714,3861,-1,-1
2008,Chhattisgarh,Bilaspur,-1.0,1137,-1,-1,817,933,2218,2488,4298,2160,-1
2009,Chhattisgarh,Bilaspur,-1.0,1221,-1,-1,841,-1,1835,3402,5917,2583,-1
2010,Chhattisgarh,Bilaspur,985.0,1217,1017,1613,-1,800,2450,4347,4904,3146,-1
2011,Chhattisgarh,Bilaspur,-1.0,1114,980,1420,1154,-1,3794,4234,4871,3156,-1
2012,Chhattisgarh,Bilaspur,1708.0,1437,3000,-1,1075,2520,4195,5563,7205,3503,-1
2013,Chhattisgarh,Bilaspur,1922.0,1585,3500,3233,2946,3456,4185,5421,7686,4008,-1
2014,Chhattisgarh,Bilaspur,1997.0,1594,1557,2085,1796,1933,3885,5856,11000,3848,-1
2015,Chhattisgarh,Bilaspur,2197.0,1917,1616,2500,2207,2033,4940,7003,8393,3862,-1
2003,Chhattisgarh,Raigarh,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2004,Chhattisgarh,Raigarh,857.0,794,-1,522,-1,-1,1559,1920,3053,1672,-1
2005,Chhattisgarh,Raigarh,911.0,877,-1,-1,-1,-1,2247,1465,2661,1875,-1
2006,Chhattisgarh,Raigarh,997.0,1169,-1,-1,619,-1,2713,1261,3017,-1,-1
2007,Chhattisgarh,Raigarh,1045.0,1469,-1,-1,963,-1,2973,1889,3004,-1,-1
2008,Chhattisgarh,Raigarh,1211.0,1330,-1,-1,967,-1,3217,2144,4736,2226,-1
2009,Chhattisgarh,Raigarh,1680.0,1715,-1,-1,1389,-1,3033,2806,5974,2824,-1
2010,Chhattisgarh,Raigarh,1520.0,-1,-1,-1,1000,-1,-1,2954,5160,3782,-1
2011,Chhattisgarh,Raigarh,1657.0,-1,-1,-1,1100,-1,-1,3523,5044,4062,-1
2012,Chhattisgarh,Raigarh,1833.0,1879,-1,-1,1168,-1,4624,3849,6365,4454,-1
2013,Chhattisgarh,Raigarh,1956.0,1991,-1,-1,1238,-1,4097,3903,8667,4301,-1
2014,Chhattisgarh,Raigarh,2152.0,1986,-1,-1,1667,-1,4436,4200,11269,4358,-1
2015,Chhattisgarh,Raigarh,2728.0,2102,2011,1414,1330,1621,4688,4259,9294,4214,-1
2003,Chhattisgarh,Surguja,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2004,Chhattisgarh,Surguja,806.0,637,-1,-1,-1,514,1683,-1,-1,-1,-1
2005,Chhattisgarh,Surguja,807.0,775,601,-1,519,572,1883,1524,2205,-1,-1
2006,Chhattisgarh,Surguja,901.0,941,1250,-1,587,580,2478,1604,2041,-1,-1
2007,Chhattisgarh,Surguja,1013.0,1083,986,-1,561,700,2861,1978,2476,-1,-1
2008,Chhattisgarh,Surguja,1140.0,-1,-1,-1,610,-1,-1,2332,4110,1957,-1
2009,Chhattisgarh,Surguja,1245.0,-1,-1,-1,1247,-1,-1,-1,5570,3646,-1
2010,Chhattisgarh,Surguja,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2011,Chhattisgarh,Surguja,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2012,Chhattisgarh,Surguja,1503.0,1800,-1,-1,1100,-1,4889,3917,-1,4000,-1
2013,Chhattisgarh,Surguja,2000.0,2200,-1,-1,1300,-1,4950,6500,-1,4761,-1
2014,Chhattisgarh,Surguja,2175.0,2375,-1,-1,1300,-1,4625,7423,-1,4870,-1
2015,Chhattisgarh,Surguja,3088.0,2400,-1,-1,1280,-1,6333,7045,9000,4330,-1
2003,Madhya Pradesh,Jabalpur,-1.0,638,489,-1,467,-1,1265,-1,2374,-1,-1
2004,Madhya Pradesh,Jabalpur,1017.0,641,498,-1,471,-1,1294,-1,2464,1409,-1
2005,Madhya Pradesh,Jabalpur,1020.0,758,573,-1,534,-1,1587,-1,2399,1486,-1
2006,Madhya Pradesh,Jabalpur,1071.0,947,1000,-1,550,-1,2122,-1,3061,1668,-1
2007,Madhya Pradesh,Jabalpur,1156.0,1123,770,-1,627,-1,2121,-1,2874,1397,1509
2008,Madhya Pradesh,Jabalpur,1542.0,1177,819,-1,752,-1,2110,-1,4364,1804,-1
2009,Madhya Pradesh,Jabalpur,1765.0,1549,837,-1,1124,-1,2581,-1,5407,3088,-1
2010,Madhya Pradesh,Jabalpur,1838.0,1593,1329,-1,1212,-1,2821,-1,-1,-1,-1
2011,Madhya Pradesh,Jabalpur,1652.0,1474,1907,-1,1402,-1,3538,-1,-1,-1,-1
2012,Madhya Pradesh,Jabalpur,1641.0,1401,850,-1,1205,-1,3151,-1,6833,-1,-1
2013,Madhya Pradesh,Jabalpur,2400.0,1644,2000,-1,1275,-1,2720,-1,13200,-1,-1
2014,Madhya Pradesh,Jabalpur,2808.0,1425,2750,-1,1333,-1,3700,-1,9522,-1,-1
2015,Madhya Pradesh,Jabalpur,2833.33,1525,1733,-1,1450,-1,4418,-1,8800,-1,-1
2003,Madhya Pradesh,Balaghat,-1.0,725,-1,-1,-1,-1,1300,-1,-1,1151,-1
2004,Madhya Pradesh,Balaghat,1200.0,800,574,-1,500,-1,1500,1452,2499,1537,-1
2005,Madhya Pradesh,Balaghat,957.0,850,588,-1,-1,-1,1710,-1,2549,1903,-1
2006,Madhya Pradesh,Balaghat,-1.0,1217,-1,-1,600,-1,2137,-1,3066,1317,-1
2007,Madhya Pradesh,Balaghat,1178.0,1125,786,-1,-1,-1,2388,-1,-1,1289,-1
2008,Madhya Pradesh,Balaghat,-1.0,965,900,-1,-1,-1,2900,-1,-1,2029,-1
2009,Madhya Pradesh,Balaghat,-1.0,1025,1036,-1,-1,-1,2005,-1,-1,3691,-1
2010,Madhya Pradesh,Balaghat,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,3752,-1
2011,Madhya Pradesh,Balaghat,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,3250,-1
2012,Madhya Pradesh,Balaghat,-1.0,-1,-1,-1,700,-1,-1,-1,-1,3648,-1
2013,Madhya Pradesh,Balaghat,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,3643,-1
2014,Madhya Pradesh,Balaghat,4500.0,-1,-1,-1,-1,-1,-1,-1,-1,3243,-1
2015,Madhya Pradesh,Balaghat,-1.0,-1,-1,-1,1750,-1,-1,-1,-1,3300,-1
2003,Madhya Pradesh,Chhindwara,-1.0,-1,-1,-1,437,-1,-1,1600,2222,999,2563
2004,Madhya Pradesh,Chhindwara,-1.0,634,493,-1,-1,-1,1239,1885,2819,1397,1509
2005,Madhya Pradesh,Chhindwara,1383.0,850,570,-1,624,-1,1707,2015,2406,1592,-1
2006,Madhya Pradesh,Chhindwara,881.0,845,792,581,665,732,2083,1823,3066,1222,2159
2007,Madhya Pradesh,Chhindwara,962.0,1139,696,693,709,872,2419,2262,4099,1649,2497
2008,Madhya Pradesh,Chhindwara,1801.0,1166,761,643,748,870,1916,2341,4710,1727,2713
2009,Madhya Pradesh,Chhindwara,1720.0,1100,938,851,793,921,1740,2250,3740,3240,2860
2010,Madhya Pradesh,Chhindwara,1619.0,1170,-1,-1,881,-1,1740,2430,5437,3174,3066
2011,Madhya Pradesh,Chhindwara,1653.0,1311,-1,-1,870,-1,3357,3006,6249,2750,2965
2012,Madhya Pradesh,Chhindwara,1617.0,-1,-1,-1,1200,-1,-1,3175,4834,3424,3722
2013,Madhya Pradesh,Chhindwara,-1.0,1633,1380,-1,-1,-1,2805,-1,-1,3444,4919
2014,Madhya Pradesh,Chhindwara,3542.0,1404,1970,-1,1207,-1,3314,4130,7219,3495,4430
2015,Madhya Pradesh,Chhindwara,3645.67,1754,1520,-1,1242,-1,4606,4000,12240,3469,4000
2003,Madhya Pradesh,Narsinghpur,-1.0,658,550,-1,-1,-1,1212,-1,2298,867,-1
2004,Madhya Pradesh,Narsinghpur,881.0,670,507,-1,-1,-1,1340,-1,2870,1289,-1
2005,Madhya Pradesh,Narsinghpur,1308.0,814,621,-1,-1,-1,1802,-1,2549,1384,-1
